"","species","pollution"
"1",23,0.175762697
"2",7,1.376778303
"3",6,2.551042556
"4",4,3.00027434
"5",2,4.905623865
"6",1,5.343305425
"7",0,7.7
"8",21,0.553688929
"9",7,1.990296437
"10",2,2.91263671
"11",3,3.216451335
"12",0,4.979884675
"13",0,5.658722899
"14",0,8.1
"15",10,0.739569861
"16",9,1.526934202
"17",4,2.232122387
"18",2,3.885288176
"19",0,4.626505411
"20",0,5.120968439
"21",0,8.3
"22",11,0.511278577
"23",13,1.478232688
"24",4,2.934558004
"25",4,3.50548891
"26",1,4.617909137
"27",0,5.696963821
"28",1,6.093016876
"29",12,0.730062798
"30",13,1.158068376
