"","pollution","species"
"1",0.175762697,29
"2",1.376778303,30
"3",2.551042556,21
"4",3.00027434,18
"5",4.905623865,13
"6",5.343305425,13
"7",7.7,9
"8",0.553688929,24
"9",1.990296437,26
"10",2.91263671,26
"11",3.216451335,20
"12",4.979884675,21
"13",5.658722899,15
"14",8.1,8
"15",0.739569861,31
"16",1.526934202,28
"17",2.232122387,18
"18",3.885288176,16
"19",4.626505411,19
"20",5.120968439,20
"21",8.3,6
"22",0.511278577,25
"23",1.478232688,23
"24",2.934558004,25
"25",3.50548891,22
"26",4.617909137,15
"27",5.696963821,11
"28",6.093016876,17
"29",0.730062798,24
"30",1.158068376,27
